seed,treebank,timestep,normalized_progress,depth,position_state,top1,top5,mrr,mean_rank,n_positions
42,UD_English-EWT,0,0.0,0,masked,0.0,6.486766995329527e-05,0.00020855302515578007,14376.204462895692,15416
42,UD_English-EWT,0,0.0,0,visible,0.0,0.0,3.125e-05,32000.0,732
42,UD_English-EWT,0,0.0,1,masked,0.0,0.0,0.0017107900159206713,7788.952970939284,15416
42,UD_English-EWT,0,0.0,1,visible,0.03415300546448088,0.9877049180327869,0.39469489981785066,2.8346994535519126,732
42,UD_English-EWT,0,0.0,2,masked,6.486766995329527e-05,0.00012973533990659055,0.0008459984704917662,9584.133822003114,15416
42,UD_English-EWT,0,0.0,2,visible,0.0,0.0,0.0001312486423015838,7622.096994535519,732
42,UD_English-EWT,0,0.0,3,masked,0.0,6.486766995329527e-05,0.0007867251360449097,10403.52672548002,15416
42,UD_English-EWT,0,0.0,3,visible,0.0,0.0,0.00012725845725593786,7861.401639344263,732
42,UD_English-EWT,0,0.0,4,masked,0.0,0.0006486766995329528,0.002080835089766031,9555.420277633628,15416
42,UD_English-EWT,0,0.0,4,visible,0.0,0.0,0.0001284914363923103,7786.542349726776,732
42,UD_English-EWT,0,0.0,5,masked,0.0,0.0007784120394395433,0.002730335404733084,8126.266216917488,15416
42,UD_English-EWT,0,0.0,5,visible,0.0,0.0,0.00012370885320230497,8088.811475409836,732
42,UD_English-EWT,0,0.0,6,masked,6.486766995329527e-05,0.00019460300985988584,0.0023841091685381623,7557.214517384536,15416
42,UD_English-EWT,0,0.0,6,visible,0.0,0.0,0.00012385305481659383,8078.6598360655735,732
42,UD_English-EWT,0,0.0,7,masked,6.486766995329527e-05,0.00934094447327452,0.007256769727876244,7036.336274001038,15416
42,UD_English-EWT,0,0.0,7,visible,0.0,0.0,0.00012538261103662004,7979.295081967213,732
42,UD_English-EWT,0,0.0,8,masked,6.486766995329527e-05,0.00012973533990659055,0.0006272449833665847,9102.4019849507,15416
42,UD_English-EWT,0,0.0,8,visible,0.0,0.0,0.00012864510259718995,7783.061475409836,732
42,UD_English-EWT,0,0.0,9,masked,6.486766995329527e-05,0.0002594706798131811,0.0012550612469374681,8178.926115723923,15416
42,UD_English-EWT,0,0.0,9,visible,0.0,0.0,0.0001299315130184375,7713.780054644809,732
42,UD_English-EWT,0,0.0,10,masked,6.486766995329527e-05,0.0034379865075246496,0.0052492181109692875,6038.352361183186,15416
42,UD_English-EWT,0,0.0,10,visible,0.0,0.0,0.00013012194537360212,7711.493169398907,732
42,UD_English-EWT,0,0.0,11,masked,6.486766995329527e-05,0.00019460300985988584,0.0013032487565136006,7106.2085495589,15416
42,UD_English-EWT,0,0.0,11,visible,0.0,0.0,0.00013539734199601898,7427.245901639344,732
42,UD_English-EWT,0,0.0,12,masked,6.486766995329527e-05,0.0002594706798131811,0.0016144453090305953,6462.022119875454,15416
42,UD_English-EWT,0,0.0,12,visible,0.0,0.0,0.00013843782793031414,7280.437158469946,732
42,UD_English-EWT,0,0.0,13,masked,6.486766995329527e-05,0.00012973533990659055,0.0013042236244984796,6867.285936689154,15416
42,UD_English-EWT,0,0.0,13,visible,0.0,0.0,0.00013810743659081797,7300.725409836065,732
42,UD_English-EWT,0,0.0,14,masked,6.486766995329527e-05,0.00012973533990659055,0.0011551615998762021,6862.113842760768,15416
42,UD_English-EWT,0,0.0,14,visible,0.0,0.0,0.00013977633761077645,7222.064207650274,732
42,UD_English-EWT,0,0.0,15,masked,6.486766995329527e-05,0.00019460300985988584,0.0013966155626090263,6569.465620134924,15416
42,UD_English-EWT,0,0.0,15,visible,0.0,0.0,0.00014306706043505201,7075.285519125683,732
42,UD_English-EWT,0,0.0,16,masked,0.0,0.0,0.00043748031991681615,9057.80611053451,15416
42,UD_English-EWT,0,0.0,16,visible,0.0,0.0,0.00014227554753920303,7127.562841530054,732
42,UD_English-EWT,0,0.0,17,masked,0.0,0.0,0.0007243846578806182,7942.5880254281265,15416
42,UD_English-EWT,0,0.0,17,visible,0.0,0.0,0.00015354189879949047,6594.946721311476,732
42,UD_English-EWT,0,0.0,18,masked,0.0,0.0,0.0012869520191885458,7065.51478982875,15416
42,UD_English-EWT,0,0.0,18,visible,0.0,0.0,0.0001493255171384303,6765.11475409836,732
42,UD_English-EWT,0,0.0,19,masked,0.0,0.0,0.0019573431487659877,6171.84814478464,15416
42,UD_English-EWT,0,0.0,19,visible,0.0,0.0,0.00014622449298894245,6898.098360655737,732
42,UD_English-EWT,0,0.0,20,masked,0.0,0.0,0.001493296055880902,6773.990788790867,15416
42,UD_English-EWT,0,0.0,20,visible,0.0,0.0,0.00014712291226176,6842.00956284153,732
42,UD_English-EWT,0,0.0,21,masked,0.0,0.0,0.0025515980525021745,6057.043785677219,15416
42,UD_English-EWT,0,0.0,21,visible,0.0,0.0,0.0001439597478168825,6986.3005464480875,732
42,UD_English-EWT,0,0.0,22,masked,0.0,0.0,0.0018641475258036027,6549.331927867151,15416
42,UD_English-EWT,0,0.0,22,visible,0.0,0.0,0.00014540612538158123,6914.472677595629,732
42,UD_English-EWT,0,0.0,23,masked,0.0,0.0,0.0014456492367920174,6932.890243902439,15416
42,UD_English-EWT,0,0.0,23,visible,0.0,0.0,0.0001474072664045256,6826.896174863388,732
42,UD_English-EWT,0,0.0,24,masked,0.0,0.0,0.0015622582486306397,6706.492151011936,15416
42,UD_English-EWT,0,0.0,24,visible,0.0,0.0,0.00015210636895737634,6619.170765027322,732
42,UD_English-EWT,0,0.0,25,masked,0.0,0.0,0.0015735624191597231,6775.2904774260505,15416
42,UD_English-EWT,0,0.0,25,visible,0.0,0.0,0.00015443842192666796,6516.9057377049185,732
42,UD_English-EWT,0,0.0,26,masked,0.0,0.0,0.0016376026310870309,6506.663401660612,15416
42,UD_English-EWT,0,0.0,26,visible,0.0,0.0,0.0001545298946241787,6513.4713114754095,732
42,UD_English-EWT,0,0.0,27,masked,0.0,0.0007784120394395433,0.0036284880087358584,5279.635962636222,15416
42,UD_English-EWT,0,0.0,27,visible,0.0,0.0,0.00014728081288372614,6822.879781420765,732
42,UD_English-EWT,0,0.0,28,masked,0.00012973533990659055,0.0024001037882719254,0.007180798378431152,4677.391541255838,15416
42,UD_English-EWT,0,0.0,28,visible,0.0,0.0,0.0001595890836807805,6293.439890710382,732
42,UD_English-EWT,0,0.0,29,masked,0.0,0.03470420342501297,0.021278505764853857,3593.4216398546964,15416
42,UD_English-EWT,0,0.0,29,visible,0.0,0.0,0.0001746165671163763,5745.314207650274,732
42,UD_English-EWT,0,0.0,30,masked,0.013492475350285417,0.07634924753502854,0.05029829043047554,2581.6905812143227,15416
42,UD_English-EWT,0,0.0,30,visible,0.0,0.0,0.00013941014417379055,7191.46174863388,732
42,UD_English-EWT,0,0.0,31,masked,0.03035806953814219,0.10515049299429165,0.07591418373997408,1911.490334717177,15416
42,UD_English-EWT,0,0.0,31,visible,0.0,0.0,4.633671787271256e-05,21612.464480874318,732
